gisjoin,year,state,statea,areaname,totblkpop,ncnatives,ncperblkpop,kyperblkpop,msperblkpop,statenativeper,alabama,arkansas,california,connecticut,delaware,florida,georgia,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,nebraska,nevada,new hampshire,new jersey,new york,north carolina,ohio,oregon,pennsylvania,rhode island,south carolina,tennessee,texas,vermont,va and wva,wisconsion,alaska territory,arizona territory,colorado territory,dakota territory,district of columbia,idaho territory,indian territory,montana territory,new mexico territory,utah territory,washington territory,wyoming territory,born at sea,native born_place not stated
G360,1870,New York,360,New York,50834,663,0.013042452,0.002891765,0.000885234,0.757445804,57,7,4,516,285,57,270,16,13,1,1,147,140,21,2025,293,25,1,45,25,0,0,15,1463,38504,663,86,1,1398,93,502,89,13,127,3458,9,0,0,0,0,389,0,0,0,0,0,0,0,1,74
G370,1870,North Carolina,370,North Carolina,391601,379231,0.968411725,0.000104698,0.000477527,0.968411725,182,11,0,1,5,49,337,3,3,0,0,41,26,2,147,10,2,0,187,10,0,0,0,5,23,379231,16,0,36,1,4840,210,15,10,6165,0,0,0,0,0,28,0,0,0,0,0,0,0,0,5
G390,1870,Ohio,390,Ohio,62887,2820,0.044842336,0.155008189,0.008205193,0.464197688,406,148,7,38,41,30,433,71,470,13,7,9748,315,7,648,60,90,14,516,178,0,0,12,49,215,2820,29192,3,988,13,409,1786,40,21,13889,17,0,0,0,0,147,0,2,0,0,0,1,0,0,43
G410,1870,Oregon,410,Oregon,301,8,0.026578073,0.046511628,0.006644518,0.282392027,2,0,25,1,4,0,2,2,3,1,0,14,5,0,17,12,0,0,2,29,0,0,0,2,22,8,2,85,11,0,2,7,3,0,30,0,0,0,0,0,6,0,0,0,0,1,2,0,0,1
G420,1870,Pennsylvania,420,Pennsylvania,64859,410,0.006321405,0.002297291,0.000832575,0.643549854,47,12,6,44,3738,27,197,20,14,4,6,149,106,17,6526,99,14,5,54,24,0,1,4,1481,669,410,208,0,41740,15,543,162,6,10,8165,1,0,0,0,0,299,0,0,0,0,0,2,0,0,34
G440,1870,Rhode Island,440,Rhode Island,4876,65,0.013330599,0.001845775,0.001230517,0.516817063,7,0,5,193,92,8,16,4,6,0,3,9,10,12,480,195,1,1,6,3,0,0,5,72,261,65,7,0,183,2520,34,0,2,6,516,0,0,0,0,0,145,0,0,0,0,0,1,0,0,8
G450,1870,South Carolina,450,South Carolina,415514,2597,0.00625009,6.02E-05,0.000296019,0.982602271,122,4,1,15,3,154,1215,0,1,1,0,25,50,6,165,22,2,2,123,5,0,0,0,4,16,2597,17,0,21,11,408285,60,19,4,2525,0,0,0,0,0,24,0,0,0,0,0,0,0,0,15
G470,1870,Tennessee,470,Tennessee,322204,9897,0.030716565,0.018600017,0.026585641,0.808897469,6368,842,4,2,10,73,6835,61,41,6,12,5993,589,8,647,24,7,11,8566,751,0,0,1,10,42,9897,148,1,90,1,4053,260630,204,2,16085,9,0,0,0,0,95,0,6,0,0,0,0,0,6,74
G480,1870,Texas,480,Texas,252634,7421,0.02937451,0.01964502,0.055000515,0.531622822,20550,5608,5,14,19,686,14801,60,53,5,37,4963,12045,16,1420,31,7,2,13895,3470,1,0,23,20,61,7421,91,1,115,3,7155,11472,134306,23,13683,10,0,2,3,0,131,0,210,0,1,1,0,0,0,214
G495,1870,Utah Territory,495,Utah Territory,113,5,0.044247788,0.053097345,0.061946903,0.345132743,7,2,1,2,0,0,4,0,1,2,0,6,0,0,1,0,0,2,7,7,0,0,0,0,5,5,8,0,2,0,0,1,1,3,3,0,0,0,0,0,1,0,0,2,0,39,0,1,0,0
G500,1870,Vermont,500,Vermont,900,12,0.013333333,0.003333333,0.003333333,0.6,1,1,0,10,0,1,6,1,0,0,0,3,10,7,30,47,0,0,3,1,0,0,20,3,62,12,2,0,6,1,15,3,1,540,106,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1
G510,1870,Virginia,510,Virginia,512792,6373,0.012428041,0.000124807,0.000167709,0.981622178,75,4,2,5,13,23,162,2,0,0,0,64,39,3,1679,17,7,0,86,16,0,0,1,12,54,6373,27,4,54,3,223,287,31,0,503368,0,0,0,0,0,117,0,0,0,0,0,0,0,0,41
G535,1870,Washington Territory,535,Washington Territory,179,0,0,0.005586592,0,0.569832402,0,0,3,1,0,1,2,2,0,0,0,1,2,1,6,3,0,0,0,10,0,0,0,2,11,0,0,5,4,0,0,2,1,0,12,0,2,0,0,0,6,0,0,0,0,0,102,0,0,0
G540,1870,West Virginia,540,West Virginia,17971,90,0.005008069,0.003895164,0.000445162,0.957653998,12,0,0,1,1,1,13,1,0,0,0,70,22,0,223,1,0,0,8,9,0,0,0,0,4,90,122,0,85,0,37,20,0,0,17210,1,0,0,0,0,8,0,0,0,0,0,0,0,0,32
G550,1870,Wisconsin,550,Wisconsin,2068,62,0.029980658,0.061411992,0.026595745,0.295454545,96,16,0,11,6,1,26,81,74,6,2,127,19,0,22,6,25,5,55,120,1,0,0,6,99,62,92,0,55,1,30,155,2,4,213,611,0,0,0,0,29,0,0,1,0,0,0,0,0,9
G565,1870,Wyoming Territory,565,Wyoming Territory,180,2,0.011111111,0.122222222,0.011111111,0.011111111,7,1,0,0,0,0,4,5,2,1,2,22,2,1,8,0,0,0,2,38,0,0,0,0,5,2,6,0,16,0,2,6,2,0,32,0,0,0,6,0,6,0,0,0,0,0,0,2,0,0
